organism,seedid,oxygenstat,metabolism,gram,mtype,genes,reactions,metabolites,draftcreator,draftcreated,ncbiid,platform,kingdom,phylum,class,order,family,genus,species,file,strain,kbaseid,id,summary_rank
Brochothrix thermosphacta DSM 20171 = FSL F6-1036,,Facultative anaerobe,"Saccharolytic, fermentative",Positive,,750.0,1361.0,999.0,Laura Kutt,04/18/16,1121126.0,Kbase,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Brochothrix,Brochothrix thermosphacta,Brochothrix_thermosphacta.json,Brochothrix thermosphacta DSM 20171 = FSL F6-1036,kb|g.240107,Brochothrix_thermosphacta,species
Ochrobactrum intermedium LMG 3301,Ochrobactrum intermedium LMG 3301 (641118.3),Microaerophilic,"Non-fermentative, asaccharolytic",Negative,,1151.0,1563.0,1165.0,,,641118.0,ModelSEED,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella intermedia,Brucella_intermedia.json,Ochrobactrum intermedium LMG 3301,kb|g.2725,Brucella_intermedia,species
Bulleidia extructa W1219,Bulleidia extructa W1219 (679192.3),Obligate anaerobe,"Saccharolytic, fermentative",Positive,,367.0,934.0,742.0,Laura Kutt,04/18/16,679192.0,ModelSEED,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,Bulleidia extructa,Bulleidia_extructa.json,Bulleidia extructa W1219,kb|g.2936,Bulleidia_extructa,species
Burkholderia cepacia GG4,Burkholderia cepacia GG4 (1009846.3),Microaerophile,"Non-fermentative, asaccharolytic",Negative,,1547.0,1785.0,1260.0,Laura Kutt,04/18/16,1009846.0,ModelSEED,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cepacia,Burkholderia_cepacia.json,Burkholderia cepacia GG4,kb|g.23290,Burkholderia_cepacia,species
Burkholderiales bacterium 1_1_47,Burkholderiales bacterium 1_1_47 (469610.4),Nanaerobe,Uncharacterized,Uncharacterized,Uncharacterized,577.0,951.0,797.0,Ines Thiele,06/29/12,469610.0,Kbase,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,unclassified Burkholderiales family,unclassified Burkholderiales genus,Burkholderiales bacterium 1_1_47,Burkholderiales_bacterium_1_1_47.json,Burkholderiales bacterium 1_1_47,,Burkholderiales_bacterium_1_1_47,species
Butyricicoccus pullicaecorum 1.2,Butyricicoccus pullicaecorum 1.2 (1203606.4),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Probiotic potential,768.0,1915.0,1312.0,Laura Kutt,04/18/16,1203606.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Butyricicoccus,Butyricicoccus pullicaecorum,Butyricicoccus_pullicaecorum.json,Butyricicoccus pullicaecorum 1.2,kb|g.31101,Butyricicoccus_pullicaecorum,species
Butyricimonas synergistica DSM 23225,Butyricimonas synergistica DSM 23225 (1121129.3),Obligate anaerobe,"Saccharolytic, fermentative",Negative,Commensal,680.0,1187.0,993.0,chenry,04/15/16,1121129.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,Butyricimonas,Butyricimonas synergistica,Butyricimonas_synergistica.json,Butyricimonas synergistica DSM 23225,kb|g.29568,Butyricimonas_synergistica,species
Butyricimonas virosa DSM 23226,,Obligate anaerobe,"Saccharolytic, fermentative",Negative,,622.0,1221.0,975.0,chenry,04/15/16,1121130.0,Kbase,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,Butyricimonas,Butyricimonas virosa,Butyricimonas_virosa.json,Butyricimonas virosa DSM 23226,kb|g.207074,Butyricimonas_virosa,species
Butyrivibrio crossotus DSM 2876,Butyrivibrio crossotus DSM 2876 (511680.4),Obligate anaerobe,"Saccharolytic, fermentative",Structurally positive but stains negative,Commensal,530.0,886.0,775.0,Ines Thiele,04/20/12,511680.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,Butyrivibrio crossotus,Butyrivibrio_crossotus.json,Butyrivibrio crossotus DSM 2876,,Butyrivibrio_crossotus,species
Butyrivibrio fibrisolvens 16/4,Butyrivibrio fibrisolvens 16/4 (657324.3),Obligate anaerobe,"Saccharolytic, fermentative, acetate converted to butyrate",Structurally positive but stains negative,Commensal,721.0,1803.0,1224.0,Ines Thiele,06/25/12,657324.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,Butyrivibrio_fibrisolvens.json,Butyrivibrio fibrisolvens 16/4,,Butyrivibrio_fibrisolvens,species
Enterococcus saccharolyticus DSM8903,,Facultative anaerobe,"Saccharolytic, fermentative",Positive,Commensal,575.0,1115.0,924.0,Laura Kutt,04/18/16,351627.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,Caldicellulosiruptor saccharolyticus,Caldicellulosiruptor_saccharolyticus.json,Enterococcus saccharolyticus DSM8903,kb|g.1031,Caldicellulosiruptor_saccharolyticus,species
Campylobacter coli JV20,Campylobacter coli JV20 (864566.3),Microaerophile,"Strictly respiratory, asaccharolytic, only amino acids and TCA cycle intermediates used",Negative,Pathogen,532.0,1009.0,798.0,Ines Thiele,06/29/12,864566.0,ModelSEED,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli,Campylobacter_coli.json,Campylobacter coli JV20,,Campylobacter_coli,species
Campylobacter concisus 13826,Campylobacter concisus 13826 (360104.9),Microaerophile/ anaerobe,"Strictly respiratory, asaccharolytic, only amino acids and TCA cycle intermediates used",Negative,Pathogen,498.0,1036.0,817.0,Eugen Bauer,09/03/14,360104.0,ModelSEED,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter concisus,Campylobacter_concisus.json,Campylobacter concisus 13826,,Campylobacter_concisus,species
Campylobacter curvus 525.92,Campylobacter curvus 525.92 (360105.8),Microaerophile/ anaerobe,"Strictly respiratory, asaccharolytic, only amino acids and TCA cycle intermediates used",Negative,Pathogen,517.0,1027.0,820.0,Eugen Bauer,08/03/14,360105.0,ModelSEED,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter curvus,Campylobacter_curvus.json,Campylobacter curvus 525.92,,Campylobacter_curvus,species
Campylobacter fetus subsp. fetus 82-40,Campylobacter fetus subsp. fetus 82-40 (360106.5),Microaerophile,"Non-fermentative, asaccharolytic",Negative,,597.0,1088.0,879.0,Laura Kutt,04/18/16,360106.0,ModelSEED,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter fetus,Campylobacter_fetus.json,Campylobacter fetus subsp. fetus 82-40,kb|g.1066,Campylobacter_fetus,species
Campylobacter gracilis RM3268,Campylobacter gracilis RM3268 (553220.3),Aerobe,Respiratory,Negative,,553.0,969.0,811.0,Laura Kutt,04/18/16,553220.0,ModelSEED,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter gracilis,Campylobacter_gracilis.json,Campylobacter gracilis RM3268,kb|g.2260,Campylobacter_gracilis,species
Campylobacter hominis ATCC BAA-381,Campylobacter hominis ATCC BAA-381 (360107.7),Microaerophile,"Strictly respiratory, asaccharolytic, only amino acids and TCA cycle intermediates used",Negative,Pathogen,470.0,940.0,838.0,Eugen Bauer,09/03/14,360107.0,ModelSEED,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter hominis,Campylobacter_hominis.json,Campylobacter hominis ATCC BAA-381,,Campylobacter_hominis,species
Campylobacter hyointestinalis subsp. hyointestinalis LMG 9260,,Microaerophile,"Non-fermentative, asaccharolytic",Negative,,578.0,1037.0,907.0,Laura Kutt,04/18/16,1031746.0,ModelSEED,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter hyointestinalis,Campylobacter_hyointestinalis.json,Campylobacter hyointestinalis subsp. hyointestinalis LMG 9260,kb|g.240203,Campylobacter_hyointestinalis,species
,,Microaerophile,"Strictly respiratory, asaccharolytic, only amino acids and TCA cycle intermediates used",Negative,Pathogen,,,,Eugen Bauer,,,,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,Campylobacter_jejuni.json,,,Campylobacter_jejuni,species
Campylobacter lari RM2100,Campylobacter lari RM2100 (306263.1),Microaerophile,"Non-fermentative, asaccharolytic",Negative,,518.0,1016.0,818.0,Laura Kutt,04/18/16,306263.0,Kbase,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter lari,Campylobacter_lari.json,Campylobacter lari RM2100,kb|g.726,Campylobacter_lari,species
Campylobacter rectus RM3267,Campylobacter rectus RM3267 (553218.4),Microaerophile,"Non-fermentative, asaccharolytic",Negative,,568.0,1017.0,866.0,Laura Kutt,04/18/16,553218.0,Kbase,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter rectus,Campylobacter_rectus.json,Campylobacter rectus RM3267,kb|g.2258,Campylobacter_rectus,species
Campylobacter showae CSUNSWCD,Campylobacter showae CSUNSWCD (1244083.3),Aerobe,Respiratory,Negative,,568.0,1017.0,841.0,Laura Kutt,04/18/16,1244083.0,Kbase,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter showae,Campylobacter_showae.json,Campylobacter showae CSUNSWCD,kb|g.25852,Campylobacter_showae,species
Campylobacter upsaliensis JV21,Campylobacter upsaliensis JV21 (888826.3),Microaerophile,"Strictly respiratory, asaccharolytic, only amino acids and TCA cycle intermediates used",Negative,Pathogen,496.0,931.0,780.0,Ines Thiele,06/29/12,888826.0,ModelSEED,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter upsaliensis,Campylobacter_upsaliensis.json,Campylobacter upsaliensis JV21,,Campylobacter_upsaliensis,species
Bacteroides ureolyticus DSM 20703,Bacteroides ureolyticus DSM 20703 (1121102.3),Aerobe,"Non-fermentative, respiratory",Negative,,534.0,941.0,791.0,Laura Kutt,04/18/16,1121102.0,Kbase,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter ureolyticus,Campylobacter_ureolyticus.json,Bacteroides ureolyticus DSM 20703,kb|g.29563,Campylobacter_ureolyticus,species
Blastococcus massiliensis AP3,,Aerobe,Uncharacterized,Positive,Uncharacterized,805.0,1324.0,1048.0,chenry,04/15/16,1211815.0,ModelSEED,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Blastococcus,Candidatus Blastococcus massiliensis,Candidatus_Blastococcus_massiliensis.json,Blastococcus massiliensis AP3,kb|g.208017,Candidatus_Blastococcus_massiliensis,species
Candidatus Nitrososphaera gargensis Ga9.2,,Aerobe,"Oxidation of ammonia, inorganic carbon",Uncharacterized,,434.0,1016.0,877.0,Laura Kutt,04/19/16,1237085.0,ModelSEED,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Candidatus Nitrososphaera gargensis,Candidatus_Nitrososphaera_gargensis.json,Candidatus Nitrososphaera gargensis Ga9.2,kb|g.238840,Candidatus_Nitrososphaera_gargensis,species
Stoquefichus massiliensis AP9,,,,,,787.0,1177.0,951.0,Laura Kutt,04/18/16,1211844.0,Kbase,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Candidatus Stoquefichus,Candidatus Stoquefichus massiliensis,Candidatus_Stoquefichus_massiliensis.json,Stoquefichus massiliensis AP9,kb|g.208018,Candidatus_Stoquefichus_massiliensis,species
Capnocytophaga granulosa ATCC 51502,Capnocytophaga granulosa ATCC 51502 (641143.3),Facultative anaerobe,"Saccharolytic, fermentative",Negative,,518.0,1029.0,867.0,chenry,04/15/16,641143.0,ModelSEED,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga granulosa,Capnocytophaga_granulosa.json,Capnocytophaga granulosa ATCC 51502,kb|g.32240,Capnocytophaga_granulosa,species
Capnocytophaga ochracea DSM 7271,Capnocytophaga ochracea DSM 7271 (521097.5),Facultative anaerobe,"Saccharolytic, fermentative",Negative,Opportunistic pathogen,513.0,1045.0,866.0,chenry,04/15/16,521097.0,ModelSEED,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga ochracea,Capnocytophaga_ochracea.json,Capnocytophaga ochracea DSM 7271,kb|g.1959,Capnocytophaga_ochracea,species
Capnocytophaga sputigena ATCC 33612,Capnocytophaga sputigena ATCC 33612 (553177.6),Facultative anaerobe,"Saccharolytic, fermentative",Negative,Pathogen,537.0,1052.0,870.0,chenry,04/15/16,553177.0,ModelSEED,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga sputigena,Capnocytophaga_sputigena.json,Capnocytophaga sputigena ATCC 33612,kb|g.2243,Capnocytophaga_sputigena,species
Catenibacterium mitsuokai DSM 15897,Catenibacterium mitsuokai DSM 15897 (451640.5),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,602.0,983.0,830.0,Ines Thiele,04/20/12,451640.0,ModelSEED,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Catenibacterium,Catenibacterium mitsuokai,Catenibacterium_mitsuokai.json,Catenibacterium mitsuokai DSM 15897,,Catenibacterium_mitsuokai,species
Cedecea davisae DSM 4568,Cedecea davisae DSM 4568 (566551.4),Aerobe,Respiratory,Negative,,1258.0,2255.0,1525.0,Laura Kutt,04/18/16,566551.0,ModelSEED,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cedecea,Cedecea davisae,Cedecea_davisae.json,Cedecea davisae DSM 4568,kb|g.32230,Cedecea_davisae,species
Cellulosilyticum lentocellum DSM 5427,,Obligate anaerobe,"Saccharolytic, fermentative",Negative,,778.0,1239.0,948.0,Laura Kutt,04/18/16,642492.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Cellulosilyticum,Cellulosilyticum lentocellum,Cellulosilyticum_lentocellum.json,Cellulosilyticum lentocellum DSM 5427,kb|g.2732,Cellulosilyticum_lentocellum,species
Cellulosimicrobium cellulans J36,,Facultative anaerobe,"Saccharolytic, fermentative",Positive,Opportunistic pathogen,490.0,1278.0,972.0,chenry,04/15/16,935839.0,ModelSEED,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Promicromonosporaceae,Cellulosimicrobium,Cellulosimicrobium cellulans,Cellulosimicrobium_cellulans.json,Cellulosimicrobium cellulans J36,kb|g.216424,Cellulosimicrobium_cellulans,species
Cetobacterium somerae ATCC BAA-47401,,Obligate anaerobe,"Saccharolytic, fermentative",Negative,,845.0,1323.0,1029.0,Laura Kutt,04/18/16,1319815.0,ModelSEED,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,Cetobacterium somerae,Cetobacterium_somerae.json,Cetobacterium somerae ATCC BAA-47401,kb|g.209858,Cetobacterium_somerae,species
Serratia fonticola RB-25,,Facultative anaerobe,"Fermentative, respiratory",Negative,,1195.0,1756.0,1216.0,Laura Kutt,04/18/16,1441930.0,Kbase,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Chania,Chania multitudinisentens,Chania_multitudinisentens.json,Serratia fonticola RB-25,kb|g.214943,Chania_multitudinisentens,species
Citrobacter amalonaticus Y19,,Facultative anaerobe,"Fermentative, respiratory",Negative,,1318.0,1827.0,1219.0,Laura Kutt,04/18/16,1261127.0,ModelSEED,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter amalonaticus,Citrobacter_amalonaticus.json,Citrobacter amalonaticus Y19,kb|g.240294,Citrobacter_amalonaticus,species
,Citrobacter freundii ATCC 8090 = MTCC 1658 (1006003.3),Facultative anaerobe,"Fermentative, respiratory",Negative,,,,,Laura Kutt,,,ModelSEED,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter freundii,Citrobacter_freundii.json,,,Citrobacter_freundii,species
Citrobacter koseri ATCC BAA-895,Citrobacter koseri ATCC BAA-895 (290338.8),Facultative anaerobe,"Fermentative or respiratory, citrate and a variety of other compounds used",Negative,Opportunistic pathogen,1234.0,1742.0,1138.0,Eugen Bauer,09/03/14,290338.0,ModelSEED,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter koseri,Citrobacter_koseri.json,Citrobacter koseri ATCC BAA-895,,Citrobacter_koseri,species
Citrobacter sp. 30_2,Citrobacter sp. 30_2 (469595.3),Facultative anaerobe,"Fermentative or respiratory, citrate and a variety of other compounds used",Negative,Opportunistic pathogen,1285.0,1775.0,1156.0,Ines Thiele,08/06/12,469595.0,ModelSEED,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter portucalensis,Citrobacter_portucalensis.json,Citrobacter sp. 30_2,,Citrobacter_portucalensis,species
Citrobacter youngae ATCC 29220,Citrobacter youngae ATCC 29220 (500640.5),Facultative anaerobe,"Fermentative or respiratory, citrate and a variety of other compounds used",Negative,Opportunistic pathogen,1299.0,2313.0,1443.0,Ines Thiele,08/06/12,500640.0,ModelSEED,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter youngae,Citrobacter_youngae.json,Citrobacter youngae ATCC 29220,,Citrobacter_youngae,species
Cloacibacillus evryensis DSM 19522,,Obligate anaerobe,"Asaccharolytic, fermentative",Negative,,873.0,1214.0,993.0,Laura Kutt,04/19/16,866499.0,ModelSEED,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Cloacibacillus,Cloacibacillus evryensis,Cloacibacillus_evryensis.json,Cloacibacillus evryensis DSM 19522,kb|g.216301,Cloacibacillus_evryensis,species
Clostridiales sp. 1_7_47FAA,Clostridiales bacterium 1_7_47FAA (457421.5),Obligate anaerobe,Uncharacterized,Uncharacterized,Uncharacterized,1302.0,1867.0,1263.0,Ines Thiele,08/06/12,457421.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales family,unclassified Clostridiales genus,Clostridiales bacterium 1_7_47FAA,Clostridiales_bacterium_1_7_47FAA.json,Clostridiales sp. 1_7_47FAA,,Clostridiales_bacterium_1_7_47FAA,species
,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species
Clostridium acetobutylicum ATCC 824,Clostridium acetobutylicum ATCC 824 (272562.8),Anaerobe,"Saccharolytic, fermentative",Positive,,836.0,1305.0,1026.0,,,272562.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium acetobutylicum,Clostridium_acetobutylicum.json,Clostridium acetobutylicum ATCC 824,kb|g.602,Clostridium_acetobutylicum,species
Clostridium beijerinckii NCIMB 8052,Clostridium beijerincki beijerinckii NCIMB 8052 (290402.34),Anaerobe,"Saccharolytic, fermentative",Positive,,1223.0,1476.0,1091.0,Laura Kutt,04/18/16,290402.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium beijerinckii,Clostridium_beijerinckii.json,Clostridium beijerinckii NCIMB 8052,kb|g.689,Clostridium_beijerinckii,species
,,Anaerobe,,Positive,,,,,Laura Kutt,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium botulinum,Clostridium_botulinum.json,,,Clostridium_botulinum,species
,,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,,,,chenry,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium butyricum,Clostridium_butyricum.json,,,Clostridium_butyricum,species
Clostridium cadaveris AGR2141,,Anaerobe,"Saccharolytic, fermentative",Positive,,769.0,1295.0,1003.0,Laura Kutt,04/18/16,1280692.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium cadaveris,Clostridium_cadaveris.json,Clostridium cadaveris AGR2141,kb|g.208696,Clostridium_cadaveris,species
Clostridium celatum DSM 1785,Clostridium celatum DSM 1785 (545697.3),Anaerobe,"Saccharolytic, fermentative",Positive,,929.0,2539.0,1392.0,Laura Kutt,06/02/16,545697.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium celatum,Clostridium_celatum.json,Clostridium celatum DSM 1785,kb|g.32222,Clostridium_celatum,species
Clostridium paraputrificum AGR2156,,Anaerobe,"Saccharolytic, fermentative",Positive,,814.0,1300.0,990.0,Laura Kutt,04/18/16,1280689.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium paraputrificum,Clostridium_paraputrificum.json,Clostridium paraputrificum AGR2156,kb|g.208693,Clostridium_paraputrificum,species
Clostridium perfringens ATCC 13124,Clostridium perfringens ATCC 13124 (195103.9),Anaerobe,"Saccharolytic, fermentative",Positive,Pathogen,735.0,1358.0,1002.0,Laura Kutt,04/18/16,195103.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium perfringens,Clostridium_perfringens.json,Clostridium perfringens ATCC 13124,kb|g.203,Clostridium_perfringens,species
Clostridium saccharoperbutylacetonicum N1-4(HMT),Clostridium saccharoperbutylacetonicum N1-4(HMT) (931276.4),Anaerobe,"Saccharolytic, fermentative",Positive,,1319.0,1496.0,1107.0,Laura Kutt,04/18/16,931276.0,Kbase,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium saccharoperbutylacetonicum,Clostridium_saccharoperbutylacetonicum.json,Clostridium saccharoperbutylacetonicum N1-4(HMT),kb|g.32397,Clostridium_saccharoperbutylacetonicum,species
Clostridium sartagoforme AAU1,,Anaerobe,"Saccharolytic, fermentative",Positive,,824.0,1285.0,989.0,Laura Kutt,04/18/16,1202534.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium sartagoforme,Clostridium_sartagoforme.json,Clostridium sartagoforme AAU1,kb|g.31085,Clostridium_sartagoforme,species
,,Obligate anaerobe,Uncharacterized,Uncharacterized,Uncharacterized,,,,Ines Thiele,,457396.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium sp. 7_2_43FAA,Clostridium_sp__7_2_43FAA.json,,,Clostridium_sp__7_2_43FAA,species
Clostridium sp M62/1,Clostridium sp. M62/1 (411486.3),Obligate anaerobe,Uncharacterized,Uncharacterized,Uncharacterized,694.0,1458.0,1116.0,Ines Thiele,08/06/12,411486.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium sp. M62/1,Clostridium_sp__M62_1.json,Clostridium sp M62/1,,Clostridium_sp__M62_1,species
Clostridium sp. SS2/1,Clostridium sp. SS2/1 (411484.7),Obligate anaerobe,"Saccharolytic, fermentative, acetate and lactate converted to butyrate",Positive,Commensal,780.0,1092.0,909.0,Ines Thiele,08/06/12,411484.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium sp. SS2/1,Clostridium_sp__SS2_1.json,Clostridium sp. SS2/1,,Clostridium_sp__SS2_1,species
Clostridium sp. SY8519,Clostridium sp. SY8519 (1042156.4),Obligate anaerobe,Uncharacterized,Uncharacterized,Uncharacterized,685.0,1113.0,918.0,Eugen Bauer,08/03/14,1042156.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium sp. SY8519,Clostridium_sp__SY8519.json,Clostridium sp. SY8519,,Clostridium_sp__SY8519,species
Clostridium sporogenes ATCC 15579,Clostridium sporogenes ATCC 15579 (471871.7),Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,844.0,1766.0,1207.0,Eugen Bauer,09/03/14,471871.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium sporogenes,Clostridium_sporogenes.json,Clostridium sporogenes ATCC 15579,,Clostridium_sporogenes,species
Clostridium tyrobutyricum DSM 2637 = ATCC 25755 = JCM 11008,Clostridium tyrobutyricum DSM 2637 = ATCC 25755 (1121342.3),Anaerobe,"Saccharolytic, fermentative",Positive,,881.0,1280.0,999.0,Laura Kutt,04/18/16,1121342.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium tyrobutyricum,Clostridium_tyrobutyricum.json,Clostridium tyrobutyricum DSM 2637 = ATCC 25755 = JCM 11008,kb|g.207086,Clostridium_tyrobutyricum,species
Collinsella aerofaciens ATCC 25986,Collinsella aerofaciens ATCC 25986 (411903.6),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,540.0,878.0,732.0,Ines Thiele,04/20/12,411903.0,ModelSEED,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella aerofaciens,Collinsella_aerofaciens.json,Collinsella aerofaciens ATCC 25986,,Collinsella_aerofaciens,species
Collinsella intestinalis DSM 13280,Collinsella intestinalis DSM 13280 (521003.7),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,439.0,1313.0,916.0,Ines Thiele,08/06/12,521003.0,ModelSEED,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella intestinalis,Collinsella_intestinalis.json,Collinsella intestinalis DSM 13280,,Collinsella_intestinalis,species
Collinsella stercoris DSM 13279,Collinsella stercoris DSM 13279 (445975.6),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,523.0,1807.0,1044.0,Ines Thiele,08/06/12,445975.0,ModelSEED,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella stercoris,Collinsella_stercoris.json,Collinsella stercoris DSM 13279,,Collinsella_stercoris,species
Collinsella tanakaei YIT 12063,Collinsella tanakaei YIT 12063 (742742.3),Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,716.0,1253.0,963.0,chenry,04/15/16,742742.0,ModelSEED,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella tanakaei,Collinsella_tanakaei.json,Collinsella tanakaei YIT 12063,kb|g.27481,Collinsella_tanakaei,species
