,Treatment,Rep,Sequencing Run,Plate,Row,Column,OD,Acetate,Butyrate,Lactate,Succinate,ER,FP,AC,HB,CC,RI,DP,BH,CA,PC,DL,CG,BF,EL,CH,BO,BT,BU,BV,BC,BY,PJ,DF,BL,BP,BA,BA Fraction,CA Fraction,BT Fraction,BU Fraction,PC Fraction,AC Fraction,BH Fraction,CC Fraction,CG Fraction,ER Fraction,DP Fraction,EL Fraction,BY Fraction,BF Fraction,CD Fraction,RI Fraction,BP Fraction,BV Fraction,CH Fraction,DF Fraction,CS Fraction,PJ Fraction,FP Fraction,EH Fraction,EC Fraction,BC Fraction,HB Fraction,BO Fraction,DL Fraction,BL Fraction,B.cereus Fraction,Total,Unclassified,Contamination?,Experiment No.,Peak30,Peak32,Peak35,Peak41,pH
510,CG,1,MiSeqOSV004,15,A,8,1.225,29.0694,0,27.2773,4.5373,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000742115,0,0,0,0.000556586,0.000185529,0,0.997217069,0,0.000185529,0.000371058,0.000185529,0,0,0.000185529,0,0.000371058,0,0,0,0,0,0,0,0,0,0,0,0,0,5390,0,No,6,,,,,
511,CG,2,MiSeqOSV004,15,B,8,1.314,27.1611,0,23.6827,3.3705,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000319591,0.000639182,0.000319591,0.000639182,0,0.000159795,0,0.991850431,0,0.000639182,0.000159795,0,0,0,0.002396932,0.000159795,0.001917546,0,0,0,0,0,0,0,0.000319591,0,0.000479386,0,0,0,6258,0,No,6,,,,,
512,BF,0,MiSeqOSV004,15,C,8,1.209,19.949,0,32.6607,25.9745,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000111508,0,0,0,0.000223015,0,0,0,0,0.000111508,0,0.000111508,0,0.999107939,0,0,0,0,0.000111508,0,0,0,0,0,0,0.000111508,0,0,0.000111508,0,0,8968,0,No,6,,,,,
513,BF,1,MiSeqOSV004,15,D,8,1.206,15.8028,0,26.8445,20.8902,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000115128,0,0,0.000115128,0.000115128,0,0,0,0,0.000115128,0.000230256,0,0.99896385,0,0.000230256,0,0,0,0,0,0,0,0,0,0,0,0,0.000115128,0,0,8687,1,No,6,,,,,
514,BF,2,MiSeqOSV004,15,E,8,1.154,19.0398,0,33.6331,25.3738,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000320034,0,0,0,0,0,0.000320034,0.000106678,0,0,0.000320034,0.000213356,0.987625347,0,0,0,0,0,0.010774483,0,0,0,0,0,0,0,0,0.000320034,0,0,9374,0,Yes,6,,,,,
515,BO,0,MiSeqOSV004,15,F,8,1.384,11.9333,0,17.4841,21.0144,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.000120788,0.000120788,0,0.000120788,0.000120788,0.000241575,0.000241575,0,0,0.000120788,0.000241575,0.000120788,0.000120788,0,0,0,0,0,0,0,0,0,0,0,0.000120788,0,0.998188187,0,0.000120788,0,8381,102,No,6,,,,,
516,BO,1,MiSeqOSV004,15,G,8,1.352,17.5792,0,27.4879,28.451,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000366032,0,0.000183016,0,0.000366032,0,0,0,0.000183016,0,0,0,0,0,0,0,0,0.000366032,0,0,0,0,0,0.000183016,0,0.998169839,0.000183016,0,0,5523,59,No,6,,,,,
517,BO,2,MiSeqOSV004,15,H,8,1.321,19.9989,0,26.9565,29.9958,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.000433557,0,0,0.000216779,0,0.000433557,0,0.000216779,0,0,0,0,0,0,0,0,0,0,0,0,0.000216779,0,0,0,0,0,0.998265771,0,0,0.000216779,4728,115,No,6,,,,,
518,BT,0,MiSeqOSV004,15,A,9,1.573,15.5839,0,23.2014,22.4762,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.998880681,0,0,0,0,0,0.000111932,0.000111932,0.000111932,0.000111932,0,0,0,0,0,0.000111932,0.000111932,0.000111932,0,0.000223864,0,0,0,0,0,0.000111932,0,0,0,8934,0,No,6,,,,,
519,BT,1,MiSeqOSV004,15,B,9,1.781,17.8807,0,24.4969,19.6826,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.000981568,0,0.990511506,0.000327189,0,0.000763442,0,0.000872505,0.000436253,0.000218126,0,0.000218126,0.000218126,0.000327189,0,0,0.003271894,0,0.000109063,0.000327189,0,0.000436253,0.000109063,0,0,0.000436253,0,0.000109063,0.000327189,0,0,9171,2,No,6,,,,,
520,BT,2,MiSeqOSV004,15,C,9,1.605,16.6943,0,35.4937,26.8842,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.000107101,0,0.998179287,0.000214202,0,0.000214202,0,0,0,0.000107101,0,0.000321302,0,0.000321302,0,0.000107101,0,0,0.000107101,0,0,0,0.000107101,0,0,0.000107101,0,0,0,0.000107101,0,9337,0,No,6,,,,,
521,BU,0,MiSeqOSV004,15,D,9,0.367,0,0,35.4469,1.5316,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.41E-05,0.000252249,0.998654671,8.41E-05,8.41E-05,0,0,0,0,8.41E-05,0.000252249,0,8.41E-05,0,0,0,0,0.000252249,0,0,8.41E-05,0,0,0,0,0,0,0,8.41E-05,0,11894,1,No,6,,,,,
522,BU,1,MiSeqOSV004,15,E,9,0.349,0,0,40.5859,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.997956403,9.73E-05,0.000194628,0.000194628,0.000194628,0,0,0,9.73E-05,0,0,0,0,9.73E-05,0,0.000291942,0,0,0.000291942,0,0,0,0.000194628,0,0,0.000291942,9.73E-05,0,10279,3,No,6,,,,,
523,BU,2,MiSeqOSV004,15,F,9,0.431,0,0,50.1478,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.000111757,0.998323648,0,0,0,0,0,0,0,0.000447027,0,0,0,0,0,0.000111757,0.000447027,0.000223514,0,0,0,0,0,0,0,0,0.000223514,0.000111757,0,8948,0,No,6,,,,,
524,BV,0,MiSeqOSV004,15,G,9,1.676,20.9329,0,19.1163,37.6108,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.000119318,0,0,0,0,0,0,0.000238635,0.000119318,0,0,0,0,0.998687507,0.000119318,0.000238635,0,0.000238635,0,0,0,0.000119318,0,0,0.000119318,0,0,8381,0,No,6,,,,,
525,BV,1,MiSeqOSV004,15,H,9,1.671,24.416,0,23.1031,38.2697,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.00012663,0.00012663,0,0.00012663,0,0,0,0,0,0.000253261,0,0,0,0,0,0.999113587,0.00012663,0,0,0.00012663,0,0,0,0,0,0,0,0,0,7897,0,No,6,,,,,
526,BV,2,MiSeqOSV004,15,A,10,1.705,17.241,0,18.8082,24.7572,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.002068252,0,0,0,0,0.000129266,0.000129266,0,0,0.000129266,0,0.000129266,0,0,0,0.996768356,0,0.000258532,0,0,0,0,0,0.000129266,0,0.000129266,0,0,0.000129266,7737,1,No,6,,,,,
527,BC,0,MiSeqOSV004,15,B,10,1.754,15.4804,0,22.0368,20.2919,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.00023084,0,0,0.00023084,0,0,0,0.00023084,0,0.00011542,0,0.00011542,0,0,0,0,0,0.00011542,0,0,0,0,0,0.998499538,0,0.000461681,0,0,0,8664,0,No,6,,,,,
528,BC,1,MiSeqOSV004,15,C,10,1.741,19.0742,0,32.5898,27.5909,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.000241051,0,0,0.000120525,0,0,0,0,0,0,0,0.000602627,0,0,0.000120525,0,0,0,0,0,0,0,0,0.998794745,0,0.000120525,0,0,0,8298,1,No,6,,,,,
529,BC,2,MiSeqOSV004,15,D,10,1.618,19.7837,0,32.9354,27.7949,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.000328335,0,0.000109445,0.000109445,0.000109445,0,0.000109445,0,0,0,0.000109445,0.000109445,0,0.000109445,0,0,0,0,0,0,0,0,0,0.998905549,0,0,0,0,0,9137,0,No,6,,,,,
530,BY,0,MiSeqOSV004,15,E,10,0.924,7.2516,0,56.3044,5.7293,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.001438849,0,0.000261609,0.000130804,0,0.000130804,0.000130804,0,0,0.989797253,0.000130804,0,0,0,0,0,0,0,0,0,0,0,0.000130804,0,0.000392413,0,0,0.007455853,7645,0,No,6,,,,,
531,BY,1,MiSeqOSV004,15,F,10,0.876,6.9253,0,54.5016,4.6125,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000164799,0,0,0,0,0.000164799,0.000494397,0,0,0.000164799,0.988958471,0.000164799,0,0.000164799,0,0,0.000164799,0.000164799,0,0,0,0,0,0.000164799,0,0.000329598,0.000164799,0,0.008734344,6070,2,No,6,,,,,
532,BY,2,MiSeqOSV004,15,G,10,0.827,6.8803,0,59.1325,3.32,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000343997,0,0,0,0,0,0.000343997,0,0,0.000171999,0.991056072,0.000343997,0,0,0,0,0,0.000171999,0,0,0,0,0,0,0,0,0,0,0.007567939,5814,0,No,6,,,,,
533,DF,0,MiSeqOSV004,15,H,10,1.057,36.3459,0,32.5415,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00011538,0.00011538,0,0,0,0,0.00011538,0,0,0,0,0,0.999653859,0,0,0,0,0,0,0,0,0,0,0,8667,0,No,6,,,,,
534,DF,1,MiSeqOSV004,15,A,11,1.214,33.3759,0,35.1971,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000253357,0.000253357,0,0.000126678,0,0,0,0,0,0.000126678,0,0.000253357,0,0.000126678,0,0.000506714,0.000126678,0.997973144,0,0,0,0,0,0.000253357,0,0,0,0,0,7894,0,No,6,,,,,
535,DF,2,MiSeqOSV004,15,B,11,1.144,23.6698,0,23.5065,4.605,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000130668,0,0.000261335,0,0,0,0,0,0.000392003,0,0.000130668,0,0,0.000130668,0.000261335,0.000130668,0.998562655,0,0,0,0,0,0,0,0,0,0,0,7653,0,No,6,,,,,
536,BL,0,MiSeqOSV004,15,C,11,1.618,37.8492,0,42.6551,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000120062,0,0.000240125,0,0,0,0.000120062,0,0.000120062,0,0,0,0,0,0.00048025,0,0,0,0,0,0,0,0.000120062,0,0,0,0.993276504,0.005522872,8331,2,No,6,,,,,
537,BL,1,MiSeqOSV004,15,D,11,1.602,43.8778,0,48.912,2.3313,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000199084,0,0,9.95E-05,0,0,0,0,0.000398168,9.95E-05,0,0,0,9.95E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.996814653,0.002289468,10047,1,No,6,,,,,
538,BL,2,MiSeqOSV004,15,E,11,1.685,43.5469,0,45.7367,1.9246,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.80E-05,0,0,0,9.80E-05,9.80E-05,0.000196078,0,0,0,9.80E-05,0,0.000294118,0,0,0,0.000196078,0,0,9.80E-05,0,0,0,0,0,9.80E-05,0,9.80E-05,0,0.994019608,0.004607843,10204,4,No,6,,,,,
539,CH,0,MiSeqOSV004,15,F,11,0.57,17.3088,0,25.3222,0.7031,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.000175377,0,0.000175377,0,0,0,0,0,8.77E-05,0,0,0.000175377,0,0,0,0,0,8.77E-05,0.998947738,0,0,0,0,0,0,0.000175377,0,0,8.77E-05,8.77E-05,0,11404,0,No,6,,,,,
540,CH,1,MiSeqOSV004,15,G,11,-0.004709091,1.0663,0,28.1606,1.382,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.0125,0,0.0125,0,0.0125,0,0,0,0.05,0.0125,0,0,0,0.0125,0,0.8375,0,0,0,0,0,0,0.025,0,0,0,0.0125,0,80,0,No,6,,,,,
541,CH,2,MiSeqOSV004,15,H,11,-0.004209091,0,0,29.3172,1.0679,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0.125,0.0625,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,18,2,No,6,,,,,
542,EL,0,MiSeqOSV004,15,A,12,0.002290909,0,0,23.2728,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.115384615,0,0.076923077,0,0,0.230769231,0,0,0,0,0,0.038461538,0,0.038461538,0,0,0.192307692,0,0,0.115384615,0,0,0,0,0.038461538,0.038461538,0,0.038461538,0,0.076923077,0,28,2,No,6,,,,,
543,EL,1,MiSeqOSV004,15,B,12,0.002,0,0,23.2119,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,6,0,No,6,,,,,
544,EL,2,MiSeqOSV004,15,C,12,0.047,0,0,28.7727,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0.3,0,10,0,No,6,,,,,
545,ER,0,MiSeqOSV004,17,A,1,1.168705882,11.6941,38.0799,59.331,4.098,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000319693,0,0,0,0.998241688,0.000159847,0.000319693,0,0,0,0.000319693,0,0,0,0,0,0.000319693,0,0,0,0.000159847,0,0,0,0.000159847,0,6256,0,No,8,,,,,
546,ER-FP,0,MiSeqOSV004,17,B,1,1.249705882,10.2623,13.0085,62.4948,6.4697,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000102554,0.000205107,0,0.000102554,0,0.987898677,0.000102554,0.000205107,0,0,0,0,0,0,0,0,0,0,0.011280894,0,0,0,0,0.000102554,0,0,0,9752,1,No,8,,,,,
547,AC-ER,0,MiSeqOSV004,17,C,1,1.649705882,5.9105,22.9523,26.0393,3.4489,1,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000117316,0,0.653683717,0.000117316,0.000117316,0,0.345377757,0,0.000351947,0,0,0,0.000117316,0,0.000117316,0,0,0,0,0,0,0,0,0,0,0,0,0,8537,13,No,8,,,,,
548,CC-ER,0,MiSeqOSV004,17,D,1,1.783705882,14.7143,32.1204,46.2356,3.4347,1,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.95E-05,0,0,9.95E-05,0,0.000497265,0,0.632322228,0,0.366484336,0,0.000397812,9.95E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10073,18,No,8,,,,,
549,ER-RI,0,MiSeqOSV004,17,E,1,1.237705882,7.7132,11.7319,36.181,2.8054,1,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.76E-05,9.76E-05,9.76E-05,9.76E-05,0.999121866,0,9.76E-05,0,9.76E-05,0,0,0,9.76E-05,9.76E-05,0,0,0,0,0,0,0,0,0,9.76E-05,0,0,10251,2,No,8,,,,,
550,DP-ER,0,MiSeqOSV004,17,F,1,0.842705882,27.9748,16.7877,40.5407,1.8849,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000113199,0,0,0.000226398,0.000113199,0.000226398,0.000226398,0.798505773,0.198664252,0.000792393,0,0.000905592,0,0,0.000113199,0,0,0.000113199,0,0,0,0,0,0,0,0,0,0,0,8837,3,No,8,,,,,
551,BH-ER,0,MiSeqOSV004,17,G,1,2.029705882,7.7702,33.0828,44.0307,5.7433,1,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107374162,0.000113623,0.000113623,0.89103511,0,0.000568117,0,0,0,0,0.000568117,0.000113623,0,0.000113623,0,0,0,0,0,0,0,0,0,0,0,8809,8,No,8,,,,,
552,CA-ER,0,MiSeqOSV004,17,H,1,1.484705882,7.6317,25.3931,57.499,3.1571,1,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178104575,0,0,0,0.000108932,0.000108932,0.000217865,0,0.820479303,0,0.000326797,0,0,0,0.000108932,0.000544662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9182,2,No,8,,,,,
553,PC-ER,0,MiSeqOSV004,17,A,2,2.161705882,12.5901,7.3301,42.797,21.4429,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00012427,0,0.00012427,0.00012427,0.480676028,0,0,0.00024854,0.00012427,0.517957003,0,0,0,0.00024854,0,0,0,0,0,0,0,0.00012427,0,0,0,0,0,0.00012427,0,0.00012427,0,8050,3,No,8,,,,,
554,PJ-ER,0,MiSeqOSV004,17,B,2,1.602705882,8.7776,19.7686,39.6161,10.335,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0001146,0.005730002,0,0.0001146,0,0.0001146,0.0001146,0,0.70066468,0,0.000573,0,0,0,0,0,0.0001146,0,0.0002292,0,0.292230117,0,0,0,0,0,0,0,0,0,8732,6,No,8,,,,,
555,EL-ER,0,MiSeqOSV004,17,C,2,0.683705882,12.1151,17.5384,92.2466,6.8737,1,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000113173,0,0.000113173,0.000113173,0.000113173,0.000113173,0,0,0,0.770710729,0,0.228157537,0,0.000113173,0,0,0,0.000226347,0,0,0,0,0,0,0,0,0,0,0.000113173,0.000113173,0,8840,4,No,8,,,,,
556,CH-ER,0,MiSeqOSV004,17,D,2,1.070705882,13.2043,29.6577,36.8035,2.2847,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000113973,0.000113973,0,0.000227946,0.000227946,0.5165261,0,0.000113973,0,0,0,0,0.000113973,0,0.482334169,0,0,0,0,0,0,0,0,0.000113973,0.000113973,0,0,8776,2,No,8,,,,,
557,DL-ER,0,MiSeqOSV004,17,E,2,1.166088235,25.2043,8.2339,22.7373,2.893,1,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000113122,0.000226244,0,0.000113122,0,0.000226244,0.000113122,0,0.359615385,0,0.000339367,0,0.000113122,0,0,0,0,0.000113122,0,0,0,0,0,0,0.000226244,0,0.000226244,0.638574661,0,0,8855,15,No,8,,,,,
558,CG-ER,0,MiSeqOSV004,17,F,2,1.237705882,15.7902,28.0108,40.6324,7.5673,1,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000240674,0,0,0,0.000361011,0.000240674,0,0.000240674,0.507340554,0.490012034,0,0.000481348,0.000120337,0.000120337,0,0,0.000120337,0,0.000120337,0,0,0,0.000120337,0,0,0,0,0.000240674,0.000240674,0,0,8328,18,No,8,,,,,
559,BF-ER,0,MiSeqOSV004,17,G,2,1.521705882,10.3702,6.9611,15.8436,11.4994,1,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000138313,0,0.000276625,0,0.000276625,0,0.001936376,0.000138313,0,0.284370678,0,0.000691563,0,0.710926694,0,0,0.00055325,0.000276625,0.000138313,0,0,0,0,0,0,0,0,0.000138313,0.000138313,0,0,7234,4,No,8,,,,,
560,BO-ER,0,MiSeqOSV004,17,H,2,1.396705882,8.8231,19.0924,34.4781,18.9213,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.000145645,0,0,0,0.000145645,0,0,0,0,0.516894844,0,0.000873871,0,0,0,0,0.000582581,0.000145645,0.000145645,0,0,0,0,0,0,0,0,0.481066123,0,0,0,6938,72,No,8,,,,,
561,BT-ER,0,MiSeqOSV004,17,A,3,1.576705882,16.7354,4.6606,27.8731,24.7225,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.745753194,0.001684683,0.00014039,0,0,0.00014039,0.000421171,0.250315878,0,0.000421171,0.000280781,0,0,0,0,0.00014039,0,0,0,0,0,0,0,0.00014039,0,0.000561561,0,0,0,7126,3,No,8,,,,,
562,BU-ER,0,MiSeqOSV004,17,B,3,1.361705882,10.5112,15.316,54.1153,4.8391,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.000187547,0.146286572,0,0,0,0,0,0.8524006,0,0.000562641,9.38E-05,0,0,0,9.38E-05,9.38E-05,0,0,0,9.38E-05,0,0,0,9.38E-05,0,0,9.38E-05,0,0,10671,7,No,8,,,,,
563,BV-ER,0,MiSeqOSV004,17,C,3,1.465705882,27.0146,0.843,25.2492,31.2255,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.002878598,0.000125156,0,0,0.222277847,0,0.000375469,0,0,0,0,0,0.77359199,0,0.000125156,0,0,0,0,0,0.000500626,0,0,0,0.000125156,0,7992,2,No,8,,,,,
564,BC-ER,0,MiSeqOSV004,17,D,3,1.691705882,25.2643,2.944,29.6188,31.803,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.000114903,0,0.000114903,0.000114903,0.000114903,0,0.073078249,0,0.000344709,0.000114903,0.000114903,0,0,0,0,0.000689417,0,0,0,0.000114903,0,0,0.925083305,0,0,0,0,0,8708,5,No,8,,,,,
565,BY-ER,0,MiSeqOSV004,17,E,3,1.418705882,20.4005,18.9079,55.3176,5.0406,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00030349,0.000202327,0,0.000101163,0,0.000202327,0.000101163,0.838745574,0,0,0.158320688,0.000101163,0,0.000101163,0,0.000101163,0.000101163,0.000202327,0,0.000101163,0,0,0,0.000202327,0,0,0.001112797,0,0,9886,1,No,8,,,,,
566,DF-ER,0,MiSeqOSV004,17,F,3,1.360705882,8.4842,20.0909,33.9099,2.807,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000101286,0.000202573,0,0.000303859,0,0.000303859,0.000607718,0.821432189,0,0.000810291,0.000303859,0.000101286,0.000202573,0.000101286,0.000202573,0,0,0.174617644,0,0,0.000202573,0,0,0.000303859,0,0,0.000202573,0,0,9876,3,No,8,,,,,
567,BL-ER,0,MiSeqOSV004,17,G,3,1.599705882,25.2839,9.8037,37.4821,3.6584,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00029067,0,0,0,0,0.00019378,0,0,9.69E-05,0.549752931,0,0.00029067,0,0.000581339,0,0,0.000775119,0.00019378,0,9.69E-05,0,0.00019378,0,0,0,0,0,0,0,0.447534154,0,10369,48,No,8,,,,,
568,BP-ER,0,MiSeqOSV004,17,H,3,1.369705882,33.305,10.432,55.7754,2.1658,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000299431,0,9.98E-05,0,9.98E-05,0,0,0.000199621,9.98E-05,0.527697375,0,0.000299431,0,0.000199621,0,0,0.470106797,0,0,0,0,0,0.000199621,0,0,9.98E-05,0,0.000399241,9.98E-05,9.98E-05,0,10022,3,No,8,,,,,
569,BA-ER,0,MiSeqOSV004,17,A,4,1.299705882,35.6277,6.5537,50.9703,3.2389,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.520933088,0,0,0,0,0.000122775,0,0.000122775,0,0.478207489,0,0,0,0,0,0,0.000122775,0.000122775,0,0.000245549,0,0,0,0,0,0.000122775,0,0,0,0,0,8146,1,No,8,,,,,
570,ER-FP,0,MiSeqOSV004,17,B,4,1.202705882,8.5829,13.3783,63.4026,6.4031,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.71E-05,0.000194212,0,9.71E-05,0,9.71E-05,0,0.986113809,0,0.000194212,0,0,0,0,9.71E-05,0,0,0,0,9.71E-05,0.013012235,0,0,0,0,0,0,0,0,10298,0,No,8,,,,,
571,FP,0,MiSeqOSV004,17,C,4,0.027705882,0,0,28.7484,4.1249,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004608295,0,0,0.01843318,0,0,0.004608295,0.00921659,0,0.00921659,0,0,0,0,0,0.004608295,0.004608295,0,0,0,0.861751152,0,0,0.078341014,0,0,0,0.004608295,0,217,0,No,8,,,,,
572,AC-FP,0,MiSeqOSV004,17,D,4,1.309705882,6.0926,30.4555,28.2016,6.4969,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000254518,0,0,0,0,0.95151438,0,0.000509035,0,0.000254518,0,0.000127259,0,0,0,0,0.000127259,0,0,0,0,0,0.046958514,0,0,0.000127259,0,0,0,0.000127259,0,7858,0,No,8,,,,,
573,CC-FP,0,MiSeqOSV004,17,E,4,1.842705882,23.5013,17.8446,48.1739,5.5032,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000206761,0.000103381,0,0,0,0.000310142,0,0.98666391,0,0.000103381,0,0.000723664,0.000206761,0.000103381,0,0.000103381,0,0.000103381,0,0,0,0,0.011165099,0,0,0,0,0,0.000206761,0,0,9674,1,No,8,,,,,
